Subject	Sex	Group	Age	Date	Day	Session	trial_number	Side	chose_side	correct	Comment
Tess	f	young chimps	26	26/10/2018	15	2	9	r	l	0	
Tess	f	young chimps	26	26/10/2018	15	2	10	l	r	0	
Tess	f	young chimps	26	26/10/2018	15	2	11	l	r	0	
Tess	f	young chimps	26	26/10/2018	15	2	12	r	r	1	
Safari	m	old chimps	34	01/12/2018	15	1	1	r	l	0	
Safari	m	old chimps	34	01/12/2018	15	1	2	l	r	0	
Safari	m	old chimps	34	01/12/2018	15	1	3	r	l	0	
Safari	m	old chimps	34	01/12/2018	15	1	4	l	r	0	
Safari	m	old chimps	34	01/12/2018	15	1	5	r	r	1	
Safari	m	old chimps	34	01/12/2018	15	1	6	l	r	0	
Safari	m	old chimps	34	01/12/2018	15	1	7	r	l	0	
Safari	m	old chimps	34	01/12/2018	15	1	8	l	r	0	
Safari	m	old chimps	34	02/12/2018	15	1	9	r	l	0	"did not approach the platform within 2 min, session stopped"
Safari	m	old chimps	34	03/12/2018	15	1	10	l	r	0	
Safari	m	old chimps	34	03/12/2018	15	1	11	r	l	0	
Safari	m	old chimps	34	03/12/2018	15	1	12	l	r	0	
Safari	m	old chimps	34	03/12/2018	15	2	1	r	l	0	
Safari	m	old chimps	34	03/12/2018	15	2	2	l	l	1	
Safari	m	old chimps	34	03/12/2018	15	2	3	r	r	1	
Safari	m	old chimps	34	03/12/2018	15	2	4	l	r	0	"did not approach the platform within 2 min, session stopped"
Oscar	m	old chimps	21	29/11/2018	15	1	1	r	r	1	
Oscar	m	old chimps	21	29/11/2018	15	1	2	l	r	0	
Oscar	m	old chimps	21	29/11/2018	15	1	3	r	l	0	
Oscar	m	old chimps	21	29/11/2018	15	1	4	l	l	1	
Oscar	m	old chimps	21	29/11/2018	15	1	5	r	l	0	
Oscar	m	old chimps	21	29/11/2018	15	1	6	l	r	0	
Oscar	m	old chimps	21	29/11/2018	15	1	7	l	r	0	
Oscar	m	old chimps	21	29/11/2018	15	1	8	r	l	0	
Oscar	m	old chimps	21	29/11/2018	15	1	9	r	l	0	
Oscar	m	old chimps	21	29/11/2018	15	1	10	l	l	1	
Oscar	m	old chimps	21	29/11/2018	15	1	11	l	r	0	
Oscar	m	old chimps	21	29/11/2018	15	1	12	r	l	0	
Oscar	m	old chimps	21	01/12/2018	15	2	1	r	l	0	
Oscar	m	old chimps	21	01/12/2018	15	2	2	l	r	0	
Oscar	m	old chimps	21	01/12/2018	15	2	3	r	r	1	
Oscar	m	old chimps	21	01/12/2018	15	2	4	l	r	0	
Oscar	m	old chimps	21	01/12/2018	15	2	5	r	l	0	
Oscar	m	old chimps	21	01/12/2018	15	2	6	l	l	1	
Oscar	m	old chimps	21	01/12/2018	15	2	7	l	l	1	
Oscar	m	old chimps	21	01/12/2018	15	2	8	r	l	0	
Oscar	m	old chimps	21	01/12/2018	15	2	9	r	l	0	
Oscar	m	old chimps	21	01/12/2018	15	2	10	l	l	1	
Oscar	m	old chimps	21	01/12/2018	15	2	11	l	l	1	
Oscar	m	old chimps	21	01/12/2018	15	2	12	r	l	0	
Judy	f	old chimps	35	29/11/2018	15	1	1	r	r	1	
Judy	f	old chimps	35	29/11/2018	15	1	2	l	r	0	
Judy	f	old chimps	35	29/11/2018	15	1	3	r	r	1	
Judy	f	old chimps	35	29/11/2018	15	1	4	l	r	0	
Judy	f	old chimps	35	29/11/2018	15	1	5	r	r	1	
Judy	f	old chimps	35	29/11/2018	15	1	6	l	r	0	
Judy	f	old chimps	35	29/11/2018	15	1	7	l	r	0	
Judy	f	old chimps	35	29/11/2018	15	1	8	r	r	1	
Judy	f	old chimps	35	29/11/2018	15	1	9	r	r	1	
Judy	f	old chimps	35	29/11/2018	15	1	10	l	r	0	
Judy	f	old chimps	35	29/11/2018	15	1	11	l	r	0	
Judy	f	old chimps	35	29/11/2018	15	1	12	r	l	0	
Judy	f	old chimps	35	30/11/2018	15	2	1	r	l	0	
Judy	f	old chimps	35	30/11/2018	15	2	2	l	r	0	
Judy	f	old chimps	35	30/11/2018	15	2	3	r	l	0	
Judy	f	old chimps	35	30/11/2018	15	2	4	l	r	0	
Judy	f	old chimps	35	30/11/2018	15	2	5	r	r	1	
Judy	f	old chimps	35	30/11/2018	15	2	6	l	r	0	
Judy	f	old chimps	35	30/11/2018	15	2	7	l	r	0	
Judy	f	old chimps	35	30/11/2018	15	2	8	r	l	0	
Judy	f	old chimps	35	30/11/2018	15	2	9	r	l	0	
Judy	f	old chimps	35	30/11/2018	15	2	10	l	r	0	
Judy	f	old chimps	35	30/11/2018	15	2	11	l	r	0	
Judy	f	old chimps	35	30/11/2018	15	2	12	r	l	0	
Alley	f	old chimps	31	29/11/2018	15	1	1	r	l	0	
Alley	f	old chimps	31	29/11/2018	15	1	2	l	r	0	
Alley	f	old chimps	31	29/11/2018	15	1	3	r	l	0	
Alley	f	old chimps	31	29/11/2018	15	1	4	l	l	1	
Alley	f	old chimps	31	29/11/2018	15	1	5	r	l	0	
Alley	f	old chimps	31	29/11/2018	15	1	6	l	r	0	
Alley	f	old chimps	31	29/11/2018	15	1	7	l	r	0	
Alley	f	old chimps	31	29/11/2018	15	1	8	r	l	0	
Alley	f	old chimps	31	29/11/2018	15	1	9	r	l	0	
Alley	f	old chimps	31	29/11/2018	15	1	10	l	l	1	
Alley	f	old chimps	31	29/11/2018	15	1	11	l	l	1	
Alley	f	old chimps	31	29/11/2018	15	1	12	r	l	0	
Alley	f	old chimps	31	30/11/2018	15	2	1	r	l	0	
Alley	f	old chimps	31	30/11/2018	15	2	2	l	r	0	
Alley	f	old chimps	31	30/11/2018	15	2	3	r	l	0	
Alley	f	old chimps	31	30/11/2018	15	2	4	l	r	0	
Alley	f	old chimps	31	30/11/2018	15	2	5	r	l	0	
Alley	f	old chimps	31	30/11/2018	15	2	6	l	r	0	
Alley	f	old chimps	31	30/11/2018	15	2	7	l	r	0	
Alley	f	old chimps	31	30/11/2018	15	2	8	r	l	0	
Alley	f	old chimps	31	30/11/2018	15	2	9	r	l	0	
Alley	f	old chimps	31	30/11/2018	15	2	10	l	r	0	
Alley	f	old chimps	31	30/11/2018	15	2	11	l	r	0	
Alley	f	old chimps	31	30/11/2018	15	2	12	r	l	0	
Ajabu	f	old chimps	10	01/12/2018	15	1	1	r	r	1	
Ajabu	f	old chimps	10	01/12/2018	15	1	2	l	r	0	
Ajabu	f	old chimps	10	01/12/2018	15	1	3	r	r	1	
Ajabu	f	old chimps	10	01/12/2018	15	1	4	l	r	0	
Ajabu	f	old chimps	10	01/12/2018	15	1	5	r	r	1	
Ajabu	f	old chimps	10	01/12/2018	15	1	6	l	r	0	
Ajabu	f	old chimps	10	01/12/2018	15	1	7	l	r	0	
Ajabu	f	old chimps	10	01/12/2018	15	1	8	r	r	1	
Ajabu	f	old chimps	10	01/12/2018	15	1	9	r	r	1	
Ajabu	f	old chimps	10	01/12/2018	15	1	10	l	r	0	
Ajabu	f	old chimps	10	01/12/2018	15	1	11	l	r	0	
Ajabu	f	old chimps	10	01/12/2018	15	1	12	r	r	1	
Ajabu	f	old chimps	10	02/12/2018	15	2	1	l	r	0	
Ajabu	f	old chimps	10	02/12/2018	15	2	2	r	r	1	
Ajabu	f	old chimps	10	02/12/2018	15	2	3	l	r	0	
Ajabu	f	old chimps	10	02/12/2018	15	2	4	r	r	1	
Ajabu	f	old chimps	10	02/12/2018	15	2	5	r	r	1	
Ajabu	f	old chimps	10	02/12/2018	15	2	6	l	r	0	
Ajabu	f	old chimps	10	02/12/2018	15	2	7	l	r	0	
Ajabu	f	old chimps	10	02/12/2018	15	2	8	r	r	1	
Ajabu	f	old chimps	10	02/12/2018	15	2	9	r	r	1	
Ajabu	f	old chimps	10	02/12/2018	15	2	10	l	r	0	
Ajabu	f	old chimps	10	02/12/2018	15	2	11	l	r	0	
Ajabu	f	old chimps	10	02/12/2018	15	2	12	r	r	1	
Angela	f	old chimps	7	29/11/2018	15	1	1	r	l	0	
Angela	f	old chimps	7	29/11/2018	15	1	2	l	r	0	
Angela	f	old chimps	7	29/11/2018	15	1	3	r	l	0	
Angela	f	old chimps	7	29/11/2018	15	1	4	l	r	0	
Angela	f	old chimps	7	29/11/2018	15	1	5	r	l	0	
Angela	f	old chimps	7	29/11/2018	15	1	6	l	r	0	
Angela	f	old chimps	7	29/11/2018	15	1	7	l	r	0	
Angela	f	old chimps	7	29/11/2018	15	1	8	r	r	1	
Angela	f	old chimps	7	29/11/2018	15	1	9	r	l	0	
Angela	f	old chimps	7	29/11/2018	15	1	10	l	r	0	
Angela	f	old chimps	7	29/11/2018	15	1	11	l	r	0	
Angela	f	old chimps	7	29/11/2018	15	1	12	r	l	0	
Angela	f	old chimps	7	30/11/2018	15	2	1	r	l	0	
Angela	f	old chimps	7	30/11/2018	15	2	2	l	r	0	
Angela	f	old chimps	7	30/11/2018	15	2	3	r	r	1	
Angela	f	old chimps	7	30/11/2018	15	2	4	l	l	1	
Angela	f	old chimps	7	30/11/2018	15	2	5	r	l	0	
Angela	f	old chimps	7	30/11/2018	15	2	6	l	l	1	
Angela	f	old chimps	7	30/11/2018	15	2	7	l	r	0	
Angela	f	old chimps	7	30/11/2018	15	2	8	r	l	0	
Angela	f	old chimps	7	30/11/2018	15	2	9	r	r	1	
Angela	f	old chimps	7	30/11/2018	15	2	10	l	r	0	
Angela	f	old chimps	7	30/11/2018	15	2	11	l	r	0	
Angela	f	old chimps	7	30/11/2018	15	2	12	r	l	0	
Cheetah	f	old chimps	31	28/10/2018		1	1	r	l	0	
Cheetah	f	old chimps	31	28/10/2018		1	2	l	r	0	
Cheetah	f	old chimps	31	28/10/2018		1	3	r	l	0	
Cheetah	f	old chimps	31	28/10/2018		1	4	l	r	0	
Cheetah	f	old chimps	31	28/10/2018		1	5	r	r	1	
Cheetah	f	old chimps	31	28/10/2018		1	6	l	r	0	
Cheetah	f	old chimps	31	28/10/2018		1	7	l	r	0	
Cheetah	f	old chimps	31	28/10/2018		1	8	r	l	0	
Cheetah	f	old chimps	31	28/10/2018		1	9	r	l	0	
Cheetah	f	old chimps	31	28/10/2018		1	10	l	r	0	
Cheetah	f	old chimps	31	28/10/2018		1	11	l	r	0	
Cheetah	f	old chimps	31	28/10/2018		1	12	r	l	0	
Cheetah	f	old chimps	31	29/10/2018		2	1	r	l	0	
Cheetah	f	old chimps	31	29/10/2018		2	2	l	r	0	
Cheetah	f	old chimps	31	29/10/2018		2	3	r	l	0	
Cheetah	f	old chimps	31	29/10/2018		2	4	l	r	0	
Cheetah	f	old chimps	31	29/10/2018		2	5	r	l	0	
Cheetah	f	old chimps	31	29/10/2018		2	6	l	r	0	
Cheetah	f	old chimps	31	29/10/2018		2	7	l	r	0	
Cheetah	f	old chimps	31	29/10/2018		2	8	r	l	0	
