Subject	Sex	Species	Age	Date	Day	Session	trial_number	Condition	P1_baited	P2_baited	Choice_P1	Correct_P1	Choice_P2	Correct_P2	count_mistakes	Comment
Oscar	m	old chimps	21	18/11/2018	6	1	8	test	2	3	4	0	2	0	2	
William	m	young chimps	18	13/10/2018		1	1	warm-up	2		4	0				
William	m	young chimps	18	13/10/2018		1	2	warm-up	4		4	1				
William	m	young chimps	18	13/10/2018		1	1	test	3	2	1	0	1	0	2	
William	m	young chimps	18	13/10/2018		1	2	test	4	3	2	0	3	1	1	
William	m	young chimps	18	13/10/2018		1	3	test	1	4	1	1	1	0	1	
William	m	young chimps	18	13/10/2018		1	4	test	2	1	4	0	4	0	2	
William	m	young chimps	18	13/10/2018		1	5	test	4	2	4	1	1	0	1	
William	m	young chimps	18	13/10/2018		1	6	test	1	1	4	0	1	1	1	
William	m	young chimps	18	13/10/2018		1	7	test	3	4	3	1	4	1	0	
William	m	young chimps	18	13/10/2018		1	8	test	2	3	3	0	4	0	2	
Roy	m	young chimps	11	14/10/2018		1	1	warm-up	2		2	1				
Roy	m	young chimps	11	14/10/2018		1	2	warm-up	4		4	0				
Roy	m	young chimps	11	14/10/2018		1	1	test	3	2	3	1	2	1	0	
Roy	m	young chimps	11	14/10/2018		1	2	test	4	3	4	1	2	0	1	
Roy	m	young chimps	11	14/10/2018		1	3	test	1	4	2	0	4	1	1	
Roy	m	young chimps	11	14/10/2018		1	4	test	2	1	2	1	1	1	0	
Roy	m	young chimps	11	14/10/2018		1	5	test	4	2	3	0	2	1	1	
Roy	m	young chimps	11	14/10/2018		1	6	test	1	1	3	0	1	1	1	
Roy	m	young chimps	11	14/10/2018		1	7	test	3	4	3	1	1	0	1	
Roy	m	young chimps	11	14/10/2018		1	8	test	2	3	2	1	2	0	1	
Tess	f	young chimps	26	13/10/2018		0	1	warm-up	2		1	0				Peanut
Tess	f	young chimps	26	13/10/2018		0	2	warm-up	4		3	0				Peanut
Tess	f	young chimps	26	13/10/2018		1	1	warm-up	2		2	1				Apple
Tess	f	young chimps	26	13/10/2018		1	2	warm-up	4		4	1				Apple
Tess	f	young chimps	26	13/10/2018		1	1	test	3	2	4	0	3	0	2	
Tess	f	young chimps	26	13/10/2018		1	2	test	4	3	4	1	2	0	1	
Tess	f	young chimps	26	13/10/2018		1	3	test	1	4	4	0	3	0	2	
Tess	f	young chimps	26	13/10/2018		1	4	test	2	1	4	0	2	0	2	
Tess	f	young chimps	26	13/10/2018		1	5	test	4	2	3	0	2	1	1	
Tess	f	young chimps	26	13/10/2018		1	6	test	1	1	1	1	3	0	1	
Tess	f	young chimps	26	13/10/2018		1	7	test	3	4	4	0	4	1	1	
Tess	f	young chimps	26	13/10/2018		1	8	test	2	3	4	0	2	0	2	
Uruhara	m	young chimps	29	13/10/2018		1	1	warm-up	2		1	0				
Uruhara	m	young chimps	29	13/10/2018		1	2	warm-up	4		4	1				
Uruhara	m	young chimps	29	13/10/2018		1	1	test	3	2	3	1	2	1	0	
Uruhara	m	young chimps	29	13/10/2018		1	2	test	4	3	4	1	3	1	0	
Uruhara	m	young chimps	29	13/10/2018		1	3	test	1	4	3	0	4	1	1	got reward on pltform 1 falsely
Uruhara	m	young chimps	29	13/10/2018		1	4	test	2	1	4	0	4	0	2	ended session because of distraction by other chimps
Uruhara	m	young chimps	29	14/10/2018		1	5	test	4	2	4	1	4	0	1	
Uruhara	m	young chimps	29	14/10/2018		1	6	test	1	1	2	0	3	0	2	
Uruhara	m	young chimps	29	14/10/2018		1	7	test	3	4	3	1	4	1	0	
Uruhara	m	young chimps	29	14/10/2018		1	8	test	2	3	3	0	4	0	2	
Manno	m	young chimps	5	14/10/2018		1	1	warm-up	2		1	0				
Manno	m	young chimps	5	14/10/2018		1	2	warm-up	4		3	0				
Manno	m	young chimps	5	14/10/2018		1	1	test	3	2	1	0	4	0	2	
Manno	m	young chimps	5	14/10/2018		1	2	test	4	3	3	0	4	0	2	
Manno	m	young chimps	5	14/10/2018		1	3	test	1	4	1	1	4	1	0	could see reward on first platform
Manno	m	young chimps	5	14/10/2018		1	4	test	2	1	1	0	2	0	2	
Manno	m	young chimps	5	14/10/2018		1	5	test	4	2	2	0	3	0	2	
Manno	m	young chimps	5	14/10/2018		1	6	test	1	1	1	1	1	1	0	
Manno	m	young chimps	5	14/10/2018		1	7	test	3	4	1	0	1	0	2	
Manno	m	young chimps	5	14/10/2018		1	8	test	2	3	2	1	3	1	0	
Jane	f	young chimps	14	14/10/2018		1	1	warm-up	2		3	0				
Jane	f	young chimps	14	14/10/2018		1	2	warm-up	4		3	0				
Jane	f	young chimps	14	14/10/2018		1	1	test	3	2	4	0	3	0	2	
Jane	f	young chimps	14	14/10/2018		1	2	test	4	3	2	0	3	0	2	
Jane	f	young chimps	14	14/10/2018		1	3	test	1	4	3	0	3	0	2	
Jane	f	young chimps	14	14/10/2018		1	4	test	2	1	3	0	1	1	1	
Jane	f	young chimps	14	14/10/2018		1	5	test	4	2	3	0	2	1	1	
Jane	f	young chimps	14	14/10/2018		1	6	test	1	1	2	0	1	1	1	"on platform one, immediately after choosing 2, she did not search in it but picked 1"
Jane	f	young chimps	14	14/10/2018		1	7	test	3	4	1	0	2	0	2	
Jane	f	young chimps	14	14/10/2018		1	8	test	2	3	2	1	1	0	1	
Chipie	f	young chimps	27	14/10/2018		1	1	warm-up	2		3	0				
Chipie	f	young chimps	27	14/10/2018		1	2	warm-up	4		4	1				
Chipie	f	young chimps	27	14/10/2018		1	1	test	3	2	4	0	3	0	2	
Chipie	f	young chimps	27	14/10/2018		1	2	test	4	3	3	0	1	0	2	
Chipie	f	young chimps	27	14/10/2018		1	3	test	1	4	4	0	2	0	2	
Chipie	f	young chimps	27	14/10/2018		1	4	test	2	1	3	0	2	0	2	
Chipie	f	young chimps	27	14/10/2018		1	5	test	4	2	3	0	3	0	2	
Chipie	f	young chimps	27	14/10/2018		1	6	test	1	1	3	0	3	0	2	
Chipie	f	young chimps	27	14/10/2018		1	7	test	3	4	4	0	3	0	2	
Chipie	f	young chimps	27	14/10/2018		1	8	test	2	3	2	1	1	0	1	
Amizero	f	young chimps	29	14/10/2018		1	1	warm-up	2		1	0				
Amizero	f	young chimps	29	14/10/2018		1	2	warm-up	4		4	1				
Amizero	f	young chimps	29	14/10/2018		1	1	test	3	2	2	0	1	0	2	
Amizero	f	young chimps	29	14/10/2018		1	2	test	4	3	4	1	1	0	1	
Amizero	f	young chimps	29	14/10/2018		1	3	test	1	4	3	0	2	0	2	
Amizero	f	young chimps	29	14/10/2018		1	4	test	2	1	2	1	2	0	1	
Amizero	f	young chimps	29	14/10/2018		1	5	test	4	2	1	0	1	0	2	
Amizero	f	young chimps	29	14/10/2018		1	6	test	1	1	2	0	1	1	1	
Amizero	f	young chimps	29	14/10/2018		1	7	test	3	4	3	1	1	0	1	
Amizero	f	young chimps	29	14/10/2018		1	8	test	2	3	3	0	3	1	1	
Julia	f	old chimps	18	18/10/2018		1	1	warm-up	2		1	0				
Julia	f	old chimps	18	18/10/2018		1	2	warm-up	4		4	1				
Julia	f	old chimps	18	18/10/2018		1	1	test	3	2	3	1	1	0	1	
Julia	f	old chimps	18	18/10/2018		1	2	test	4	3	4	1	1	0	1	
Julia	f	old chimps	18	18/10/2018		1	3	test	1	4	4	0	3	0	2	
Julia	f	old chimps	18	18/10/2018		1	4	test	2	1	4	0	3	0	2	
Julia	f	old chimps	18	18/10/2018		1	5	test	4	2	4	1	1	0	1	
Julia	f	old chimps	18	18/10/2018		1	6	test	1	1	4	0	1	1	1	
Julia	f	old chimps	18	18/10/2018		1	7	test	3	4	4	0	1	0	2	
Julia	f	old chimps	18	18/10/2018		1	8	test	2	3	2	0	1	0	2	
Amahirwe	m	old chimps	20	14/10/2018		1	1	warm-up	2		2	1				
Amahirwe	m	old chimps	20	14/10/2018		1	2	warm-up	4		4	1				
Amahirwe	m	old chimps	20	14/10/2018		1	1	test	3	2	3	1	2	1	0	
Amahirwe	m	old chimps	20	14/10/2018		1	2	test	4	3	3	0	1	0	2	
Amahirwe	m	old chimps	20	14/10/2018		1	3	test	1	4	3	0	1	0	2	
Amahirwe	m	old chimps	20	14/10/2018		1	4	test	2	1	3	0	1	1	1	
Amahirwe	m	old chimps	20	14/10/2018		1	5	test	4	2	3	0	2	1	1	
Amahirwe	m	old chimps	20	14/10/2018		1	6	test	1	1	1	1	1	1	0	
Amahirwe	m	old chimps	20	14/10/2018		1	7	test	3	4	2	0	1	0	2	
Amahirwe	m	old chimps	20	14/10/2018		1	8	test	2	3	3	0	2	0	2	
Mwanzo	f	old chimps	22	18/10/2018		1	1	warm-up	2		3	0				
Mwanzo	f	old chimps	22	18/10/2018		1	2	warm-up	4		4	1				
Mwanzo	f	old chimps	22	18/10/2018		1	1	test	3	2	4	0	3	0	2	
Mwanzo	f	old chimps	22	18/10/2018		1	2	test	4	3	4	1	2	0	1	
Mwanzo	f	old chimps	22	18/10/2018		1	3	test	1	4	4	0	2	0	2	
Mwanzo	f	old chimps	22	18/10/2018		1	4	test	2	1	4	0	1	1	1	
Mwanzo	f	old chimps	22	18/10/2018		1	5	test	4	2	4	1	2	1	0	
Mwanzo	f	old chimps	22	18/10/2018		1	6	test	1	1	3	0	1	1	1	
Mwanzo	f	old chimps	22	18/10/2018		1	7	test	3	4	2	0	2	0	2	
Mwanzo	f	old chimps	22	18/10/2018		1	8	test	2	3	4	0	2	0	2	
Mary	f	old chimps	15	18/10/2018		1	1	warm-up	2		2	1				
Mary	f	old chimps	15	18/10/2018		1	2	warm-up	4		3	0				
Mary	f	old chimps	15	18/10/2018		1	1	test	3	2	3	1	2	1	0	Apple visible in platform 2
Mary	f	old chimps	15	18/10/2018		1	2	test	4	3	4	1	4	0	1	
Mary	f	old chimps	15	18/10/2018		1	3	test	1	4	4	0	1	0	2	
Mary	f	old chimps	15	18/10/2018		1	4	test	2	1	4	0	1	1	1	
Mary	f	old chimps	15	14/10/2018		1	5	test	4	2	4	1	2	1	0	
Mary	f	old chimps	15	14/10/2018		1	6	test	1	1	4	0	1	1	1	
Mary	f	old chimps	15	14/10/2018		1	7	test	3	4	4	0	1	0	2	
Mary	f	old chimps	15	14/10/2018		1	8	test	2	3	3	0	1	0	2	
Edvard	m	old chimps	18	14/10/2018		1	1	warm-up	2		2	1				
Edvard	m	old chimps	18	14/10/2018		1	2	warm-up	4		4	1				
Edvard	m	old chimps	18	14/10/2018		1	1	test	3	2	3	1	4	0	1	
Edvard	m	old chimps	18	14/10/2018		1	2	test	4	3	3	0	3	1	1	
Edvard	m	old chimps	18	14/10/2018		1	3	test	1	4	4	0	3	0	2	
Edvard	m	old chimps	18	14/10/2018		1	4	test	2	1	4	0	1	1	1	
Edvard	m	old chimps	18	14/10/2018		1	5	test	4	2	3	0	2	1	1	
Edvard	m	old chimps	18	14/10/2018		1	6	test	1	1	3	0	1	1	1	
Edvard	m	old chimps	18	14/10/2018		1	7	test	3	4	4	0	2	0	2	
Edvard	m	old chimps	18	14/10/2018		1	8	test	2	3	3	0	1	0	2	
Zee	m	old chimps	18	14/10/2018		1	1	warm-up	2		2	1				
Zee	m	old chimps	18	14/10/2018		1	2	warm-up	4		4	1				
Zee	m	old chimps	18	14/10/2018		1	1	test	3	2	4	0	4	0	2	
Zee	m	old chimps	18	14/10/2018		1	2	test	4	3	4	1	4	0	1	
Zee	m	old chimps	18	14/10/2018		1	3	test	1	4	4	0	4	1	1	
Zee	m	old chimps	18	14/10/2018		1	4	test	2	1	4	0	1	1	1	
Zee	m	old chimps	18	14/10/2018		1	5	test	4	2	4	1	3	0	1	
Zee	m	old chimps	18	14/10/2018		1	6	test	1	1	4	0	1	1	1	
Zee	m	old chimps	18	14/10/2018		1	7	test	3	4	4	0	1	0	2	
Zee	m	old chimps	18	14/10/2018		1	8	test	2	3	3	0	3	1	1	
Cheetah	f	old chimps	31	14/10/2018		1	1	warm-up	2		3	0				
Cheetah	f	old chimps	31	14/10/2018		1	2	warm-up	4		4	1				
Cheetah	f	old chimps	31	14/10/2018		1	1	test	3	2	2	0	3	0	2	
Cheetah	f	old chimps	31	14/10/2018		1	2	test	4	3	2	0	3	1	1	
