trial.id	Subject	Sex	Species	Age	Date	Session	Trial	condition	side	first_move_LR	first_move_correct	Change_latency_code	Change_latency_value	Change_position_code	Change_position_value	StartPos_latency_code	StartPos_latency_value	food_retrieved_code	food_retrieved_latency	comment	side_change	firsttest_trial_number	Trial_test
97	Manno	m	young chimps	5	24/10/2018	2	37	training	l	l	c							et	778		yes	0	
98	Manno	m	young chimps	5	24/10/2018	2	38	training	r	l	i							et	3086		yes	0	
99	Manno	m	young chimps	5	24/10/2018	2	39	test	l	l	c	ct	903	cp	11	st	1272				yes	0	7
100	Manno	m	young chimps	5	24/10/2018	2	40	training	r	r	c							et	951		yes	0	
101	Manno	m	young chimps	5	24/10/2018	2	41	test	r	r	c	ct	1856	cp	22	st	2310				no	0	8
102	Manno	m	young chimps	5	24/10/2018	2	42	training	l	l	c							et	675		yes	0	
103	Manno	m	young chimps	5	24/10/2018	2	43	training	l	l	c							et	1032		no	0	
104	Manno	m	young chimps	5	24/10/2018	2	44	training	r	r	c							et	1212		yes	0	
105	Manno	m	young chimps	5	24/10/2018	2	45	training	r	r	c							et	932		no	0	
106	Manno	m	young chimps	5	24/10/2018	2	46	training	r	r	c							et	1116		no	0	
107	Manno	m	young chimps	5	24/10/2018	2	47	test	l	r	i	ct	2959	cp	21	st	3420				yes	0	9
108	Manno	m	young chimps	5	24/10/2018	2	48	training	l	l	c							et	1200		no	0	
109	Manno	m	young chimps	5	24/10/2018	2	49	training	l	l	c							et	771		no	0	
