Subject	Sex	Group	Age	Date	Condition	Number_boxes	Trial_number	trial_correct	number_redundant_searched	1st_choice	2nd_choice	second_choice_correct	third_choice	third_choice_correct	comment
Zee	m	old chimps	18	13/12/2018	one_platform	2	3	0	1	1	1	0			
Zee	m	old chimps	18	13/12/2018	one_platform	2	4	1	0	2	1	1			
Zee	m	old chimps	18	13/12/2018	one_platform	2	5	1	0	2	1	1			
Zee	m	old chimps	18	13/12/2018	one_platform	2	6	0	1	1	1	0			
Zee	m	old chimps	18	13/12/2018	one_platform	3	1	1	0	3	1	1	2	1	
Zee	m	old chimps	18	13/12/2018	one_platform	3	2	1	0	3	1	1	2	1	
Zee	m	old chimps	18	13/12/2018	one_platform	3	3	0	1	3	3	0	2	1	
Zee	m	old chimps	18	13/12/2018	one_platform	3	4	1	0	3	1	1	2	1	
Zee	m	old chimps	18	13/12/2018	one_platform	3	5	0	1	3	2	1	2	0	
Zee	m	old chimps	18	13/12/2018	one_platform	3	6	1	0	3	1	1	2	1	
Cheetah	f	old chimps	31	15/12/2018	one_platform	2	1	0	1	2	2	0			
Cheetah	f	old chimps	31	15/12/2018	one_platform	2	2	1	0	2	1	1			
Cheetah	f	old chimps	31	15/12/2018	one_platform	2	3	1	0	2	1	1			
Cheetah	f	old chimps	31	15/12/2018	one_platform	2	4	1	0	2	1	1			
Cheetah	f	old chimps	31	15/12/2018	one_platform	2	5	1	0	2	1	1			
Cheetah	f	old chimps	31	15/12/2018	one_platform	2	6	1	0	2	1	1			
Cheetah	f	old chimps	31	15/12/2018	one_platform	3	1	1	0	3	2	1	1	1	
Cheetah	f	old chimps	31	15/12/2018	one_platform	3	2	1	0	3	2	1	1	1	
Cheetah	f	old chimps	31	15/12/2018	one_platform	3	3	1	0	3	2	1	1	1	
Cheetah	f	old chimps	31	15/12/2018	one_platform	3	4	1	0	3	2	1	1	1	
Cheetah	f	old chimps	31	15/12/2018	one_platform	3	5	0	1	3	3	0	2	1	
Cheetah	f	old chimps	31	15/12/2018	one_platform	3	6	0	1	3	3	0	2	1	
Julia	f	old chimps	18	14/12/2018	one_platform	2	1	1	0	1	2	1			
Julia	f	old chimps	18	14/12/2018	one_platform	2	2	1	0	2	1	1			
Julia	f	old chimps	18	14/12/2018	one_platform	2	3	0	1	2	2	0			
Julia	f	old chimps	18	14/12/2018	one_platform	2	4	0	1	2	2	0			
Julia	f	old chimps	18	14/12/2018	one_platform	2	5	1	0	2	1	1			
Julia	f	old chimps	18	14/12/2018	one_platform	2	6	0	1	2	2	0			
Julia	f	old chimps	18	14/12/2018	one_platform	3	1	0	1	3	2	1	3	0	
Julia	f	old chimps	18	14/12/2018	one_platform	3	2	0	1	3	3	0	2	1	
